"gene","panel","category","headline","source","agora_id","ensembl_gene_id","total_nominations","initial_nomination","nominating_teams","cohort_studies","input_data","programs","pharos_class","in_geomx","in_control_signature","in_adcaa_signature","in_any_signature","fully_evaluable"
"PDHB","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79379","ENSG00000168291",4,2018,"Chang Lab; Columbia-Rush; Emory; Emory-Sage-SGC","ACT; BLSA; Banner; MSBB; ROSMAP","Clinical; Genetics; Protein; RNA","AMP-AD; Community; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"PRDX6","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b791dc","ENSG00000117592",4,2018,"Chang Lab; Emory; Emory-Sage-SGC; MSSM - Zhang Lab","ACT; BLSA; Banner; Kronos; MSBB; Rush","Genetics; Protein; RNA","AMP-AD; Community; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"RPH3A","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79130","ENSG00000089169",4,2018,"Chang Lab; Columbia-Rush; Emory; MSSM - Zhang Lab","ACT; BLSA; Banner; MSBB; ROSMAP","Clinical; Genetics; Protein","AMP-AD; Community","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"VGF","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79219","ENSG00000128564",4,2018,"Columbia-Rush; Emory; MSSM - Zhang Lab; Mayo-UFL-ISB","ACT; BLSA; Banner; MSBB; Mayo; ROSMAP","Clinical; Genetics; Protein; RNA","AMP-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"ACE","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79318","ENSG00000159640",3,2018,"Duke; Emory","ADNI; Banner; ROSMAP; https://doi.org/10.1038/s41588-018-0311-9; https://doi.org/10.1038/s41588-019-0358-2","Genetics; Metabolomics; Protein","AMP-AD","Tclin",TRUE,TRUE,TRUE,TRUE,TRUE
"CTSH","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79162","ENSG00000103811",3,2020,"Emory; Emory-Sage-SGC","Banner; ROSMAP; https://doi.org/10.1038/s41588-018-0311-9; https://doi.org/10.1038/s41588-019-0358-2","Genetics; Protein","AMP-AD; TREAT-AD","Tchem",TRUE,TRUE,TRUE,TRUE,TRUE
"DBI","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b792fe","ENSG00000155368",3,2018,"Columbia-Rush; Emory; MSSM - Zhang Lab","ACT; BLSA; Banner; MSBB; ROSMAP","Clinical; Genetics; Protein","AMP-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"DNM1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79180","ENSG00000106976",3,2018,"Chang Lab; Emory; MSSM - Zhang Lab","ACT; BLSA; Banner; Kronos; MSBB; Mayo; ROSMAP","Genetics; Protein; RNA","AMP-AD; Community","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"ERBB3","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b790f8","ENSG00000065361",3,2018,"ASU; Columbia-Rush; Mayo-UFL-ISB","Mayo; ROSMAP; VirusResilience","Clinical; Genetics; Protein; RNA","AMP-AD","Tclin",TRUE,TRUE,TRUE,TRUE,TRUE
"GSN","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b792c9","ENSG00000148180",3,2018,"Chang Lab; Columbia-Rush; MSSM - Zhang Lab","Kronos; MSBB; ROSMAP; Rush","Clinical; Genetics; Protein; RNA","AMP-AD; Community","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"MDK","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b791a1","ENSG00000110492",3,2018,"Emory; Emory-Sage-SGC; Mayo-UFL-ISB","Banner; Emory; MSBB; Mayo; ROSMAP","Protein; RNA","AMP-AD; TREAT-AD","Tchem",TRUE,TRUE,TRUE,TRUE,TRUE
"NDUFA10","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79227","ENSG00000130414",3,2018,"Chang Lab; Emory; MSSM - Zhang Lab","ACT; BLSA; Banner; MSBB","Genetics; Protein","AMP-AD; Community","Tclin",TRUE,TRUE,TRUE,TRUE,TRUE
"PAK1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b792cf","ENSG00000149269",3,2018,"Chang Lab; Emory-Sage-SGC; MSSM - Zhang Lab","Banner; Emory; Kronos; MSBB; ROSMAP","Genetics; Protein; RNA","AMP-AD; Community; TREAT-AD","Tchem",TRUE,TRUE,TRUE,TRUE,TRUE
"PDHA1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79232","ENSG00000131828",3,2018,"Columbia-Rush; Emory-Sage-SGC; MSSM - Zhang Lab","MSBB; ROSMAP","Clinical; Genetics; Protein; RNA","AMP-AD; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"PTN","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b7917a","ENSG00000105894",3,2018,"Emory; Emory-Sage-SGC; Mayo-UFL-ISB","Banner; Emory; MSBB; Mayo; ROSMAP","Protein; RNA","AMP-AD; TREAT-AD","Tchem",TRUE,TRUE,TRUE,TRUE,TRUE
"RABEP1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b790dd","ENSG00000029725",3,2018,"Duke; Emory-Sage-SGC; MSSM - Roussos Lab","ADNI; Banner; FreshMicro; ROSMAP","Genetics; Metabolomics; Protein; RNA","AMP-AD; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"RUFY3","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b790cf","ENSG00000018189",3,2018,"Duke; Emory; MSSM - Roussos Lab","ACT; ADNI; BLSA; Banner; HBI_scRNAseq","Genetics; Metabolomics; Protein; RNA","AMP-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"SEPTIN5","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b793ff","ENSG00000184702",3,2018,"ASU; Emory; MSSM - Zhang Lab","ACT; BLSA; Banner; MSBB; VirusResilience","Protein; RNA","AMP-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"SFRP1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79177","ENSG00000104332",3,2018,"Emory; Emory-Sage-SGC; Mayo-UFL-ISB","APP Mice; Banner; Emory; MSBB; ROSMAP","Protein","AMP-AD; TREAT-AD","Tchem",TRUE,TRUE,TRUE,TRUE,TRUE
"SLC25A11","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b7918c","ENSG00000108528",3,2018,"Chang Lab; Columbia-Rush; Emory","ACT; BLSA; Banner; MSBB; ROSMAP","Clinical; Genetics; Protein; RNA","AMP-AD; Community","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"SLIT2","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b792b2","ENSG00000145147",3,2018,"Duke; Emory; Emory-Sage-SGC","ADNI; Banner; Emory; MSBB; ROSMAP","Genetics; Metabolomics; Protein","AMP-AD; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"SNX32","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b793b4","ENSG00000172803",3,2020,"Emory; Emory-Sage-SGC","Banner; ROSMAP; https://doi.org/10.1038/s41588-018-0311-9; https://doi.org/10.1038/s41588-019-0358-2","Genetics; Protein","AMP-AD; TREAT-AD","Tdark",TRUE,TRUE,TRUE,TRUE,TRUE
"SPON1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b7947a","ENSG00000262655",3,2020,"Emory; Emory-Sage-SGC; MSSM - Roussos Lab","Banner; Emory; FreshMicro; MSBB; ROSMAP","Protein; RNA","AMP-AD; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"SYK","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79353","ENSG00000165025",3,2018,"Emory-Sage-SGC; IUSM-Purdue; MSSM - Zhang Lab","ABA; Banner; GSE33000; GSE44772; GSE48350; GSE5281; MSBB; Mayo; ROSMAP","Genetics; Protein; RNA","AMP-AD; TREAT-AD","Tclin",TRUE,TRUE,TRUE,TRUE,TRUE
"SYNGAP1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b7942f","ENSG00000197283",3,2018,"Chang Lab; Emory; MSSM - Zhang Lab","ACT; BLSA; Banner; MSBB","Genetics; Protein","AMP-AD; Community","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"SYT1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b790ff","ENSG00000067715",3,2018,"Chang Lab; Emory; MSSM - Zhang Lab","ACT; BLSA; Banner; Kronos; MSBB; Mayo; ROSMAP; Rush","Genetics; Protein; RNA","AMP-AD; Community","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"TNFRSF1A","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b790fe","ENSG00000067182",3,2018,"Chang Lab; IUSM-Purdue; MSSM - Zhang Lab","GSE15222; GSE33000; GSE48350; GSE5281; GSE84422; Kronos; MSBB; Mayo; Mayo Clinic; ROSMAP; Rush","Genetics; RNA","AMP-AD; Community; TREAT-AD","Tchem",TRUE,TRUE,TRUE,TRUE,TRUE
"TYROBP","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b790c8","ENSG00000011600",3,2018,"IUSM-Purdue; MSSM - Zhang Lab; Mayo-UFL-ISB","ABA; GSE33000; GSE44772; GSE48350; GSE5281; HBTRC; MSBB; Mayo; ROSMAP","Genetics; RNA","AMP-AD; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"ABI3","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79193","ENSG00000108798",2,2018,"IUSM-Purdue; Mayo-UFL-ISB","ABA; GSE33000; GSE44772; GSE48350; GSE5281; MSBB; Mayo; ROSMAP","RNA","AMP-AD; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"ADAMTS4","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79311","ENSG00000158859",2,2018,"ASU; Duke","ADNI; VirusResilience","Genetics; Metabolomics; RNA","AMP-AD","Tchem",TRUE,TRUE,TRUE,TRUE,TRUE
"ANKS1B","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79401","ENSG00000185046",2,2018,"Emory; MSSM - Zhang Lab","ACT; BLSA; Banner; MSBB","Protein","AMP-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"AP2B1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b790bc","ENSG00000006125",2,2018,"Chang Lab; Emory","ACT; BLSA; Banner; MSBB; Rush","Genetics; Protein; RNA","AMP-AD; Community","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"APOC1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79223","ENSG00000130208",2,2018,"Duke; MSSM - Roussos Lab","ADNI; FreshMicro","Genetics; Metabolomics; RNA","AMP-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"ATP1B1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b7929b","ENSG00000143153",2,2018,"Chang Lab; Columbia-Rush","Kronos; MSBB; Mayo; ROSMAP; Rush","Clinical; Genetics; Protein; RNA","AMP-AD; Community","Tclin",TRUE,TRUE,TRUE,TRUE,TRUE
"ATP2A2","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b793bb","ENSG00000174437",2,2018,"Columbia-Rush; Emory","ACT; BLSA; Banner; ROSMAP","Clinical; Protein","AMP-AD","Tchem",TRUE,TRUE,TRUE,TRUE,TRUE
"ATP2B1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79107","ENSG00000070961",2,2018,"Emory; MSSM - Zhang Lab","ACT; BLSA; Banner; MSBB","Genetics; Protein; RNA","AMP-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"ATP6V1A","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b791bc","ENSG00000114573",2,2018,"Chang Lab; MSSM - Zhang Lab","Kronos; MSBB; Mayo; ROSMAP; Rush","Genetics; Protein; RNA","AMP-AD; Community","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"BDH2","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79344","ENSG00000164039",2,2020,"Emory; Emory-Sage-SGC","Banner; Emory; MSBB; ROSMAP","Protein","AMP-AD; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"C1QTNF4","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b793af","ENSG00000172247",2,2018,"Columbia-Rush; Mayo-UFL-ISB","Mayo; ROSMAP","Clinical; Genetics; Protein; RNA","AMP-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"C4A","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b7946b","ENSG00000244731",2,2018,"Columbia-Rush; Emory-Sage-SGC","ACT; BLSA; Banner; ROSMAP","Clinical; Genetics; Protein; RNA","AMP-AD; TREAT-AD","Tbio",FALSE,TRUE,TRUE,TRUE,FALSE
"CACNB4","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b793eb","ENSG00000182389",2,2018,"MSSM - Roussos Lab; MSSM - Zhang Lab","HBI_scRNAseq; MSBB","Genetics; RNA","AMP-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"CAPN2","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b7932c","ENSG00000162909",2,2018,"Emory; Emory-Sage-SGC","ACT; BLSA; Banner","Protein","AMP-AD; TREAT-AD","Tchem",TRUE,TRUE,TRUE,TRUE,TRUE
"CD44","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b790db","ENSG00000026508",2,2018,"Emory; Emory-Sage-SGC","ACT; BLSA; Banner","Protein","AMP-AD; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"CDK18","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b791d8","ENSG00000117266",2,2019,"Chang Lab; Mayo-UFL-ISB","GSE197305; Kronos; MC-CAA; Mayo; ROSMAP; Rush","Genetics; Protein; RNA","AMP-AD; Community","Tchem",TRUE,TRUE,TRUE,TRUE,TRUE
"CHADL","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79149","ENSG00000100399",2,2018,"Columbia-Rush; Emory","ROSMAP; syn20933797; syn52525880","Clinical; Genetics; Protein; RNA","AMP-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"CIRBP","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b7913e","ENSG00000099622",2,2019,"Chang Lab; MSSM - Roussos Lab","HBI_scRNAseq; Kronos; Mayo; ROSMAP","Genetics; RNA","AMP-AD; Community","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"CLIC1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b7945e","ENSG00000213719",2,2018,"Chang Lab; MSSM - Zhang Lab","Kronos; MSBB; Mayo; ROSMAP; Rush","Genetics; RNA","AMP-AD; Community","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"COL11A1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b790f0","ENSG00000060718",2,2020,"Emory; Emory-Sage-SGC","Banner; Emory; MSBB; ROSMAP","Clinical; Protein","AMP-AD; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"CPLX1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79384","ENSG00000168993",2,2018,"Columbia-Rush; Emory","ROSMAP; https://doi.org/10.1038/s41588-018-0311-9; https://doi.org/10.1038/s41588-019-0358-2","Clinical; Genetics; Protein","AMP-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"CS","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b790f2","ENSG00000062485",2,2018,"Chang Lab; Columbia-Rush","MSBB; ROSMAP","Clinical; Genetics; Protein","AMP-AD; Community","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"CSF1R","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b793ed","ENSG00000182578",2,2018,"IUSM-Purdue; Mayo-UFL-ISB","ABA; GSE33000; GSE44772; GSE48350; GSE5281; MSBB; Mayo; ROSMAP","RNA","AMP-AD; TREAT-AD","Tclin",TRUE,TRUE,TRUE,TRUE,TRUE
"CSMD1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b793f5","ENSG00000183117",2,2018,"Duke; MSSM - Zhang Lab","ADNI; MSBB","Genetics; Metabolomics; RNA","AMP-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"CYBA","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b790ea","ENSG00000051523",2,2019,"Chang Lab; IUSM-Purdue","ABA; GSE33000; GSE44772; GSE48350; GSE5281; Kronos; MSBB; Mayo; ROSMAP; Rush","Genetics; RNA","Community; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"DAG1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b793b7","ENSG00000173402",2,2020,"Emory; Emory-Sage-SGC","Banner; Emory; MSBB; ROSMAP","Protein","AMP-AD; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"DDAH2","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79462","ENSG00000213722",2,2018,"Columbia-Rush; Emory","ACT; BLSA; Banner; ROSMAP","Clinical; Protein","AMP-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"DISC1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b7932d","ENSG00000162946",2,2023,"ASU; IUSM-Purdue","GSE138852; GSE189119; GSE302545; VirusResilience; syn18485175; syn31512863; syn5279529","RNA","AMP-AD; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"DLGAP2","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b7943d","ENSG00000198010",2,2021,"JAX-VUMC-UW Resilience; MSSM - Zhang Lab","Diversity outbred mice; MSBB; ROSMAP","Clinical; Genetics; Protein; RNA","AMP-AD; Resilience-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"DOC2A","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b792d7","ENSG00000149927",2,2020,"Emory","Banner; ROSMAP; https://doi.org/10.1038/s41588-018-0311-9; https://doi.org/10.1038/s41588-019-0358-2","Genetics; Protein","AMP-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"DOCK2","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79249","ENSG00000134516",2,2018,"IUSM-Purdue; MSSM - Zhang Lab","ABA; GSE33000; GSE44772; GSE48350; GSE5281; MSBB; Mayo; ROSMAP","Genetics; RNA","AMP-AD; TREAT-AD","Tchem",TRUE,TRUE,TRUE,TRUE,TRUE
"DPP6","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79225","ENSG00000130226",2,2018,"Chang Lab; Emory","ACT; BLSA; Banner; MSBB; Mayo","Genetics; Protein; RNA","AMP-AD; Community","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"DYNC1I1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b7930f","ENSG00000158560",2,2018,"Chang Lab; MSSM - Zhang Lab","Kronos; MSBB; Mayo; ROSMAP; Rush","Genetics; RNA","AMP-AD; Community","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"ECE1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b791d9","ENSG00000117298",2,2020,"Emory; Emory-Sage-SGC","Banner; Emory; MSBB; ROSMAP","Protein","AMP-AD; TREAT-AD","Tchem",TRUE,TRUE,TRUE,TRUE,TRUE
