TargetName,MatrisomeDivision,MatrisomeCategory
PLXDC2,Matrisome-associated,ECM-affiliated Proteins
ADAMTS6,Matrisome-associated,ECM Regulators
MUC12,Matrisome-associated,ECM-affiliated Proteins
MEGF9,Matrisome-associated,Secreted Factors
HAPLN2,Core matrisome,Proteoglycans
A2M,Matrisome-associated,ECM Regulators
VEGFB,Matrisome-associated,Secreted Factors
SPOCK2,Core matrisome,Proteoglycans
ANXA8,Matrisome-associated,ECM-affiliated Proteins
AMH,Matrisome-associated,Secreted Factors
IFNA16,Matrisome-associated,Secreted Factors
SPOCK3,Core matrisome,Proteoglycans
CSTB,Matrisome-associated,ECM Regulators
IGFBP7,Core matrisome,ECM Glycoproteins
INHBE,Matrisome-associated,Secreted Factors
MFAP1,Core matrisome,ECM Glycoproteins
EMILIN1,Core matrisome,ECM Glycoproteins
WNT9B,Matrisome-associated,Secreted Factors
IL7,Matrisome-associated,Secreted Factors
CCN2,Core matrisome,ECM Glycoproteins
CX3CL1,Matrisome-associated,Secreted Factors
S100Z,Matrisome-associated,Secreted Factors
C1QTNF1,Matrisome-associated,ECM-affiliated Proteins
GAS6,Core matrisome,ECM Glycoproteins
CSHL1,Matrisome-associated,Secreted Factors
SEMA4F,Matrisome-associated,ECM-affiliated Proteins
S100B,Matrisome-associated,Secreted Factors
TNFSF12,Matrisome-associated,Secreted Factors
SBSPON,Core matrisome,ECM Glycoproteins
ANXA6,Matrisome-associated,ECM-affiliated Proteins
ADAM32,Matrisome-associated,ECM Regulators
IL25,Matrisome-associated,Secreted Factors
NELL2,Core matrisome,ECM Glycoproteins
VEGFD,Matrisome-associated,Secreted Factors
BMP1,Matrisome-associated,ECM Regulators
HYAL2,Matrisome-associated,ECM Regulators
FGF8,Matrisome-associated,Secreted Factors
CRELD1,Core matrisome,ECM Glycoproteins
PPBP,Matrisome-associated,Secreted Factors
PLXNA1,Matrisome-associated,ECM-affiliated Proteins
CHADL,Core matrisome,Proteoglycans
SPARCL1,Core matrisome,ECM Glycoproteins
GPC4,Matrisome-associated,ECM-affiliated Proteins
CLEC4E,Matrisome-associated,ECM-affiliated Proteins
CLEC3B,Matrisome-associated,ECM-affiliated Proteins
PLAT,Matrisome-associated,ECM Regulators
NRG1,Matrisome-associated,Secreted Factors
CTSE,Matrisome-associated,ECM Regulators
WNT10B,Matrisome-associated,Secreted Factors
CST4,Matrisome-associated,ECM Regulators
AGRN,Core matrisome,ECM Glycoproteins
FSTL3,Matrisome-associated,Secreted Factors
PTN,Matrisome-associated,Secreted Factors
CLEC10A,Matrisome-associated,ECM-affiliated Proteins
LRG1,Core matrisome,ECM Glycoproteins
CCL3L3,Matrisome-associated,Secreted Factors
PRSS3,Matrisome-associated,ECM Regulators
C1QTNF7,Matrisome-associated,ECM-affiliated Proteins
BMP7,Matrisome-associated,Secreted Factors
INTS6L,Core matrisome,ECM Glycoproteins
COL27A1,Core matrisome,Collagens
EGFL7,Matrisome-associated,Secreted Factors
ADAMTS4,Matrisome-associated,ECM Regulators
WNT3,Matrisome-associated,Secreted Factors
COL5A3,Core matrisome,Collagens
SEMA3A,Matrisome-associated,ECM-affiliated Proteins
CCL3,Matrisome-associated,Secreted Factors
COL11A1,Core matrisome,Collagens
SERPINB1,Matrisome-associated,ECM Regulators
CTSB,Matrisome-associated,ECM Regulators
ADAMTS1,Matrisome-associated,ECM Regulators
TNR,Core matrisome,ECM Glycoproteins
PLXNA2,Matrisome-associated,ECM-affiliated Proteins
KNG1,Matrisome-associated,ECM Regulators
MUC5AC,Matrisome-associated,ECM-affiliated Proteins
HTRA1,Matrisome-associated,ECM Regulators
ITIH5,Matrisome-associated,ECM Regulators
SFTPC,Matrisome-associated,ECM-affiliated Proteins
ITIH4,Matrisome-associated,ECM Regulators
SDC4,Matrisome-associated,ECM-affiliated Proteins
SERPINF1,Matrisome-associated,ECM Regulators
S100A7,Matrisome-associated,Secreted Factors
BCAN,Core matrisome,Proteoglycans
GPC1,Matrisome-associated,ECM-affiliated Proteins
WIF1,Matrisome-associated,Secreted Factors
WNT10A,Matrisome-associated,Secreted Factors
NODAL,Matrisome-associated,Secreted Factors
EMCN,Matrisome-associated,ECM-affiliated Proteins
GDF5,Matrisome-associated,Secreted Factors
LMAN1,Matrisome-associated,ECM-affiliated Proteins
HAPLN4,Core matrisome,Proteoglycans
MDK,Matrisome-associated,Secreted Factors
VWA5B2,Core matrisome,ECM Glycoproteins
COL5A2,Core matrisome,Collagens
REG3A,Matrisome-associated,ECM-affiliated Proteins
ISM1,Matrisome-associated,Secreted Factors
BMP3,Matrisome-associated,Secreted Factors
ADAMTSL5,Matrisome-associated,ECM Regulators
SNED1,Core matrisome,ECM Glycoproteins
IFNA5,Matrisome-associated,Secreted Factors
IL1F10,Matrisome-associated,Secreted Factors
EGLN2,Matrisome-associated,ECM Regulators
ELSPBP1,Core matrisome,ECM Glycoproteins
TNFSF13,Matrisome-associated,Secreted Factors
WNT5B,Matrisome-associated,Secreted Factors
IL24,Matrisome-associated,Secreted Factors
FGF11,Matrisome-associated,Secreted Factors
MASP2,Matrisome-associated,ECM Regulators
ANXA1,Matrisome-associated,ECM-affiliated Proteins
EGLN3,Matrisome-associated,ECM Regulators
S100A1,Matrisome-associated,Secreted Factors
CTSD,Matrisome-associated,ECM Regulators
CSPG4,Matrisome-associated,ECM-affiliated Proteins
CXCL14,Matrisome-associated,Secreted Factors
LAMA1,Core matrisome,ECM Glycoproteins
INHA,Matrisome-associated,Secreted Factors
DCN,Core matrisome,Proteoglycans
IGFBP2,Core matrisome,ECM Glycoproteins
CSF1,Matrisome-associated,Secreted Factors
FGF17,Matrisome-associated,Secreted Factors
LAMA5,Core matrisome,ECM Glycoproteins
ZFP91,Matrisome-associated,Secreted Factors
FGF2,Matrisome-associated,Secreted Factors
IL18,Matrisome-associated,Secreted Factors
S100A16,Matrisome-associated,Secreted Factors
ADAMTS10,Matrisome-associated,ECM Regulators
ADAM11,Matrisome-associated,ECM Regulators
FGF18,Matrisome-associated,Secreted Factors
SERPING1,Matrisome-associated,ECM Regulators
OVGP1,Matrisome-associated,ECM-affiliated Proteins
CLEC14A,Matrisome-associated,ECM-affiliated Proteins
TGFB2,Matrisome-associated,Secreted Factors
C1QB,Matrisome-associated,ECM-affiliated Proteins
CRLF1,Matrisome-associated,Secreted Factors
SERPINE2,Matrisome-associated,ECM Regulators
S100A10,Matrisome-associated,Secreted Factors
FREM1,Matrisome-associated,ECM-affiliated Proteins
SEMA6C,Matrisome-associated,ECM-affiliated Proteins
LTBP4,Core matrisome,ECM Glycoproteins
ANXA5,Matrisome-associated,ECM-affiliated Proteins
CCL18,Matrisome-associated,Secreted Factors
IGFBP4,Core matrisome,ECM Glycoproteins
LAMB2,Core matrisome,ECM Glycoproteins
IFNA14,Matrisome-associated,Secreted Factors
MST1,Matrisome-associated,Secreted Factors
FGF21,Matrisome-associated,Secreted Factors
SDC3,Matrisome-associated,ECM-affiliated Proteins
LOXL4,Matrisome-associated,ECM Regulators
P4HTM,Matrisome-associated,ECM Regulators
P4HA2,Matrisome-associated,ECM Regulators
IL17F,Matrisome-associated,Secreted Factors
SERPINH1,Matrisome-associated,ECM Regulators
KITLG,Matrisome-associated,Secreted Factors
MUC20,Matrisome-associated,ECM-affiliated Proteins
FAM20C,Matrisome-associated,ECM Regulators
MUC21,Matrisome-associated,ECM-affiliated Proteins
WNT8A,Matrisome-associated,Secreted Factors
MMP28,Matrisome-associated,ECM Regulators
ADAM23,Matrisome-associated,ECM Regulators
MFGE8,Core matrisome,ECM Glycoproteins
LOXL2,Matrisome-associated,ECM Regulators
LGI3,Core matrisome,ECM Glycoproteins
CCL8,Matrisome-associated,Secreted Factors
C17orf58,Matrisome-associated,ECM Regulators
FGF6,Matrisome-associated,Secreted Factors
CTSZ,Matrisome-associated,ECM Regulators
VWDE,Core matrisome,ECM Glycoproteins
FGF4,Matrisome-associated,Secreted Factors
CCN1,Core matrisome,ECM Glycoproteins
CXCL13,Matrisome-associated,Secreted Factors
MUC5B,Matrisome-associated,ECM-affiliated Proteins
GH1,Matrisome-associated,Secreted Factors
S100A13,Matrisome-associated,Secreted Factors
MEGF8,Matrisome-associated,Secreted Factors
TIMP2,Matrisome-associated,ECM Regulators
ADAMTS13,Matrisome-associated,ECM Regulators
TIMP3,Matrisome-associated,ECM Regulators
BMP8B,Matrisome-associated,Secreted Factors
IL6,Matrisome-associated,Secreted Factors
C1QL2,Matrisome-associated,ECM-affiliated Proteins
NCAN,Core matrisome,Proteoglycans
GDF11,Matrisome-associated,Secreted Factors
DHH,Matrisome-associated,Secreted Factors
IFNA13,Matrisome-associated,Secreted Factors
FN1,Core matrisome,ECM Glycoproteins
PGF,Matrisome-associated,Secreted Factors
ADAM15,Matrisome-associated,ECM Regulators
PF4,Matrisome-associated,Secreted Factors
GDF1,Matrisome-associated,Secreted Factors
FGF1,Matrisome-associated,Secreted Factors
ADAMTS3,Matrisome-associated,ECM Regulators
SPON2,Core matrisome,ECM Glycoproteins
IGFBP5,Core matrisome,ECM Glycoproteins
IFNA4,Matrisome-associated,Secreted Factors
P4HA1,Matrisome-associated,ECM Regulators
LTBP1,Core matrisome,ECM Glycoproteins
F12,Matrisome-associated,ECM Regulators
VWA5A,Core matrisome,ECM Glycoproteins
IL34,Matrisome-associated,Secreted Factors
MFAP3,Core matrisome,ECM Glycoproteins
PLOD3,Matrisome-associated,ECM Regulators
SERPINB7,Matrisome-associated,ECM Regulators
TNFSF14,Matrisome-associated,Secreted Factors
SERPINB6,Matrisome-associated,ECM Regulators
IGF1,Matrisome-associated,Secreted Factors
ANXA9,Matrisome-associated,ECM-affiliated Proteins
ADAM12,Matrisome-associated,ECM Regulators
COL16A1,Core matrisome,Collagens
S100A11,Matrisome-associated,Secreted Factors
C1QL3,Matrisome-associated,ECM-affiliated Proteins
CRIM1,Core matrisome,ECM Glycoproteins
BRINP2,Matrisome-associated,Secreted Factors
CCL24,Matrisome-associated,Secreted Factors
EGLN1,Matrisome-associated,ECM Regulators
CST9L,Matrisome-associated,ECM Regulators
LTBP3,Core matrisome,ECM Glycoproteins
IL13,Matrisome-associated,Secreted Factors
LIF,Matrisome-associated,Secreted Factors
TNXB,Core matrisome,ECM Glycoproteins
EBI3,Matrisome-associated,Secreted Factors
SMOC2,Core matrisome,ECM Glycoproteins
F7,Matrisome-associated,ECM Regulators
ELN,Core matrisome,ECM Glycoproteins
PLXND1,Matrisome-associated,ECM-affiliated Proteins
NTNG2,Core matrisome,ECM Glycoproteins
PDGFB,Matrisome-associated,Secreted Factors
BGN,Core matrisome,Proteoglycans
MUCL1,Matrisome-associated,ECM-affiliated Proteins
CST6,Matrisome-associated,ECM Regulators
SERPINA1,Matrisome-associated,ECM Regulators
THBS3,Core matrisome,ECM Glycoproteins
CCL19,Matrisome-associated,Secreted Factors
COL4A1,Core matrisome,Collagens
CLEC12B,Matrisome-associated,ECM-affiliated Proteins
PCSK6,Matrisome-associated,ECM Regulators
PLOD1,Matrisome-associated,ECM Regulators
CLEC17A,Matrisome-associated,ECM-affiliated Proteins
COL6A2,Core matrisome,Collagens
FBLN5,Core matrisome,ECM Glycoproteins
SRGN,Core matrisome,Proteoglycans
HCFC2,Matrisome-associated,Secreted Factors
CLEC6A,Matrisome-associated,ECM-affiliated Proteins
SERPIND1,Matrisome-associated,ECM Regulators
CST8,Matrisome-associated,ECM Regulators
SERPINA3,Matrisome-associated,ECM Regulators
PCOLCE,Core matrisome,ECM Glycoproteins
CCL26,Matrisome-associated,Secreted Factors
ADAMTS8,Matrisome-associated,ECM Regulators
COL18A1,Core matrisome,Collagens
DPT,Core matrisome,ECM Glycoproteins
MATN4,Core matrisome,ECM Glycoproteins
TGFB3,Matrisome-associated,Secreted Factors
FGF14,Matrisome-associated,Secreted Factors
COL4A2,Core matrisome,Collagens
MEGF11,Matrisome-associated,Secreted Factors
VWF,Core matrisome,ECM Glycoproteins
CELA3A,Matrisome-associated,ECM Regulators
AGT,Matrisome-associated,ECM Regulators
CRLF3,Matrisome-associated,Secreted Factors
SERPINI1,Matrisome-associated,ECM Regulators
IL36RN,Matrisome-associated,Secreted Factors
WNT11,Matrisome-associated,Secreted Factors
C1QTNF6,Matrisome-associated,ECM-affiliated Proteins
GDF6,Matrisome-associated,Secreted Factors
LGI1,Core matrisome,ECM Glycoproteins
GDF2,Matrisome-associated,Secreted Factors
WNT2,Matrisome-associated,Secreted Factors
ANXA2,Matrisome-associated,ECM-affiliated Proteins
CLEC18A,Matrisome-associated,ECM-affiliated Proteins
C1QC,Matrisome-associated,ECM-affiliated Proteins
TIMP4,Matrisome-associated,ECM Regulators
ANXA7,Matrisome-associated,ECM-affiliated Proteins
COL1A2,Core matrisome,Collagens
SEMA3E,Matrisome-associated,ECM-affiliated Proteins
NGLY1,Matrisome-associated,ECM Regulators
SLIT2,Core matrisome,ECM Glycoproteins
ASTL,Matrisome-associated,ECM Regulators
NPNT,Core matrisome,ECM Glycoproteins
S100A4,Matrisome-associated,Secreted Factors
CXCL3,Matrisome-associated,Secreted Factors
RELN,Core matrisome,ECM Glycoproteins
HHIP,Matrisome-associated,Secreted Factors
CBLN2,Matrisome-associated,Secreted Factors
ADAM9,Matrisome-associated,ECM Regulators
PLXNB1,Matrisome-associated,ECM-affiliated Proteins
COL11A2,Core matrisome,Collagens
ANXA11,Matrisome-associated,ECM-affiliated Proteins
SEMA4C,Matrisome-associated,ECM-affiliated Proteins
IL25,Matrisome-associated,Secreted Factors
BMP7,Matrisome-associated,Secreted Factors
S100A16,Matrisome-associated,Secreted Factors
GAS6,Core matrisome,ECM Glycoproteins
COL6A1,Core matrisome,Collagens
CSTB,Matrisome-associated,ECM Regulators
GDF5,Matrisome-associated,Secreted Factors
VEGFD,Matrisome-associated,Secreted Factors
PARM1,Matrisome-associated,ECM-affiliated Proteins
EDIL3,Core matrisome,ECM Glycoproteins
A2M,Matrisome-associated,ECM Regulators
S100A10,Matrisome-associated,Secreted Factors
CLEC6A,Matrisome-associated,ECM-affiliated Proteins
SEMA4F,Matrisome-associated,ECM-affiliated Proteins
TNFSF12,Matrisome-associated,Secreted Factors
SFRP2,Matrisome-associated,Secreted Factors
CTSF,Matrisome-associated,ECM Regulators
SPP1,Core matrisome,ECM Glycoproteins
SEMA4D,Matrisome-associated,ECM-affiliated Proteins
HAPLN2,Core matrisome,Proteoglycans
PLXNA1,Matrisome-associated,ECM-affiliated Proteins
LTA,Matrisome-associated,Secreted Factors
FGF13,Matrisome-associated,Secreted Factors
CLEC10A,Matrisome-associated,ECM-affiliated Proteins
LGI4,Core matrisome,ECM Glycoproteins
CCL3,Matrisome-associated,Secreted Factors
LGALS1,Matrisome-associated,ECM-affiliated Proteins
ADAM22,Matrisome-associated,ECM Regulators
SEMA3B,Matrisome-associated,ECM-affiliated Proteins
GLDN,Core matrisome,ECM Glycoproteins
ADAMTS13,Matrisome-associated,ECM Regulators
PRELP,Core matrisome,Proteoglycans
HSPG2,Core matrisome,Proteoglycans
C1QTNF1,Matrisome-associated,ECM-affiliated Proteins
TIMP1,Matrisome-associated,ECM Regulators
VEGFB,Matrisome-associated,Secreted Factors
C1QL2,Matrisome-associated,ECM-affiliated Proteins
PGF,Matrisome-associated,Secreted Factors
AMH,Matrisome-associated,Secreted Factors
SPOCK1,Core matrisome,Proteoglycans
SLIT1,Core matrisome,ECM Glycoproteins
MUC12,Matrisome-associated,ECM-affiliated Proteins
TIMP3,Matrisome-associated,ECM Regulators
CST3,Matrisome-associated,ECM Regulators
EGLN2,Matrisome-associated,ECM Regulators
FSTL3,Matrisome-associated,Secreted Factors
COL27A1,Core matrisome,Collagens
OGFOD2,Matrisome-associated,ECM Regulators
ADAMTS1,Matrisome-associated,ECM Regulators
EFEMP1,Core matrisome,ECM Glycoproteins
LMAN1,Matrisome-associated,ECM-affiliated Proteins
THBS3,Core matrisome,ECM Glycoproteins
VWDE,Core matrisome,ECM Glycoproteins
FGF3,Matrisome-associated,Secreted Factors
ITIH5,Matrisome-associated,ECM Regulators
SEMA6B,Matrisome-associated,ECM-affiliated Proteins
IGF2,Matrisome-associated,Secreted Factors
PLXNB2,Matrisome-associated,ECM-affiliated Proteins
SDC4,Matrisome-associated,ECM-affiliated Proteins
FBN3,Core matrisome,ECM Glycoproteins
PLXNB3,Matrisome-associated,ECM-affiliated Proteins
CX3CL1,Matrisome-associated,Secreted Factors
ELFN2,Matrisome-associated,ECM-affiliated Proteins
ELSPBP1,Core matrisome,ECM Glycoproteins
C1QTNF7,Matrisome-associated,ECM-affiliated Proteins
BMP3,Matrisome-associated,Secreted Factors
CTSZ,Matrisome-associated,ECM Regulators
COL9A2,Core matrisome,Collagens
F7,Matrisome-associated,ECM Regulators
FGF4,Matrisome-associated,Secreted Factors
WNT2,Matrisome-associated,Secreted Factors
P4HTM,Matrisome-associated,ECM Regulators
LOXL2,Matrisome-associated,ECM Regulators
SEMA4B,Matrisome-associated,ECM-affiliated Proteins
C17orf58,Matrisome-associated,ECM Regulators
COL16A1,Core matrisome,Collagens
FGF21,Matrisome-associated,Secreted Factors
CTSD,Matrisome-associated,ECM Regulators
CXCL13,Matrisome-associated,Secreted Factors
TGFB3,Matrisome-associated,Secreted Factors
GREM1,Matrisome-associated,ECM-affiliated Proteins
CRELD1,Core matrisome,ECM Glycoproteins
MEGF10,Matrisome-associated,Secreted Factors
SERPING1,Matrisome-associated,ECM Regulators
CLEC18A,Matrisome-associated,ECM-affiliated Proteins
SERPINH1,Matrisome-associated,ECM Regulators
SEMA6A,Matrisome-associated,ECM-affiliated Proteins
ADAMTS4,Matrisome-associated,ECM Regulators
PRSS3,Matrisome-associated,ECM Regulators
NELL2,Core matrisome,ECM Glycoproteins
C1QTNF4,Matrisome-associated,ECM-affiliated Proteins
MDK,Matrisome-associated,Secreted Factors
HCFC2,Matrisome-associated,Secreted Factors
SEMA6C,Matrisome-associated,ECM-affiliated Proteins
MUC5AC,Matrisome-associated,ECM-affiliated Proteins
FBLN5,Core matrisome,ECM Glycoproteins
CCL19,Matrisome-associated,Secreted Factors
IL24,Matrisome-associated,Secreted Factors
SERPINI1,Matrisome-associated,ECM Regulators
EMILIN1,Core matrisome,ECM Glycoproteins
IFNA14,Matrisome-associated,Secreted Factors
SPARC,Core matrisome,ECM Glycoproteins
TNR,Core matrisome,ECM Glycoproteins
CELA3A,Matrisome-associated,ECM Regulators
CXCL3,Matrisome-associated,Secreted Factors
WNT3,Matrisome-associated,Secreted Factors
CSHL1,Matrisome-associated,Secreted Factors
PLAT,Matrisome-associated,ECM Regulators
S100A1,Matrisome-associated,Secreted Factors
SERPINE2,Matrisome-associated,ECM Regulators
POMZP3,Core matrisome,ECM Glycoproteins
PPBP,Matrisome-associated,Secreted Factors
PDGFB,Matrisome-associated,Secreted Factors
FGF18,Matrisome-associated,Secreted Factors
CCN2,Core matrisome,ECM Glycoproteins
EMID1,Core matrisome,ECM Glycoproteins
KNG1,Matrisome-associated,ECM Regulators
PCOLCE,Core matrisome,ECM Glycoproteins
SERPINB1,Matrisome-associated,ECM Regulators
CHADL,Core matrisome,Proteoglycans
IGFBP7,Core matrisome,ECM Glycoproteins
TNFSF13,Matrisome-associated,Secreted Factors
SNED1,Core matrisome,ECM Glycoproteins
INHBE,Matrisome-associated,Secreted Factors
LAMA1,Core matrisome,ECM Glycoproteins
ANXA9,Matrisome-associated,ECM-affiliated Proteins
ADAMTS6,Matrisome-associated,ECM Regulators
CST6,Matrisome-associated,ECM Regulators
IGFBP5,Core matrisome,ECM Glycoproteins
PLXDC2,Matrisome-associated,ECM-affiliated Proteins
IFNA4,Matrisome-associated,Secreted Factors
FAM20C,Matrisome-associated,ECM Regulators
WNT10A,Matrisome-associated,Secreted Factors
MEGF9,Matrisome-associated,Secreted Factors
CCL24,Matrisome-associated,Secreted Factors
LOXL4,Matrisome-associated,ECM Regulators
VWA5B2,Core matrisome,ECM Glycoproteins
CRLF1,Matrisome-associated,Secreted Factors
LAMA5,Core matrisome,ECM Glycoproteins
ANXA8,Matrisome-associated,ECM-affiliated Proteins
CCL18,Matrisome-associated,Secreted Factors
FLT3LG,Matrisome-associated,Secreted Factors
IL1F10,Matrisome-associated,Secreted Factors
NODAL,Matrisome-associated,Secreted Factors
IGF1,Matrisome-associated,Secreted Factors
FGF1,Matrisome-associated,Secreted Factors
WNT10B,Matrisome-associated,Secreted Factors
SPOCK2,Core matrisome,Proteoglycans
WNT11,Matrisome-associated,Secreted Factors
WNT5B,Matrisome-associated,Secreted Factors
AEBP1,Core matrisome,ECM Glycoproteins
S100A7,Matrisome-associated,Secreted Factors
MUC5B,Matrisome-associated,ECM-affiliated Proteins
COL1A2,Core matrisome,Collagens
DCN,Core matrisome,Proteoglycans
FN1,Core matrisome,ECM Glycoproteins
CELA2A,Matrisome-associated,ECM Regulators
SEMA4A,Matrisome-associated,ECM-affiliated Proteins
SLIT2,Core matrisome,ECM Glycoproteins
LGI1,Core matrisome,ECM Glycoproteins
GPC1,Matrisome-associated,ECM-affiliated Proteins
CCL2,Matrisome-associated,Secreted Factors
SBSPON,Core matrisome,ECM Glycoproteins
BGN,Core matrisome,Proteoglycans
CLEC12B,Matrisome-associated,ECM-affiliated Proteins
NTNG1,Core matrisome,ECM Glycoproteins
IL13,Matrisome-associated,Secreted Factors
SPOCK3,Core matrisome,Proteoglycans
FGF17,Matrisome-associated,Secreted Factors
CLEC3B,Matrisome-associated,ECM-affiliated Proteins
ISM1,Matrisome-associated,Secreted Factors
C1QC,Matrisome-associated,ECM-affiliated Proteins
COL4A2,Core matrisome,Collagens
IL18,Matrisome-associated,Secreted Factors
TNFSF14,Matrisome-associated,Secreted Factors
ANXA6,Matrisome-associated,ECM-affiliated Proteins
ADAM12,Matrisome-associated,ECM Regulators
ELN,Core matrisome,ECM Glycoproteins
MFAP1,Core matrisome,ECM Glycoproteins
CLEC4E,Matrisome-associated,ECM-affiliated Proteins
TGFB2,Matrisome-associated,Secreted Factors
NTNG2,Core matrisome,ECM Glycoproteins
RELN,Core matrisome,ECM Glycoproteins
IL7,Matrisome-associated,Secreted Factors
C1QL3,Matrisome-associated,ECM-affiliated Proteins
PLXND1,Matrisome-associated,ECM-affiliated Proteins
COL5A3,Core matrisome,Collagens
ADAMTS8,Matrisome-associated,ECM Regulators
REG3A,Matrisome-associated,ECM-affiliated Proteins
FGF11,Matrisome-associated,Secreted Factors
LTBP1,Core matrisome,ECM Glycoproteins
SERPINF1,Matrisome-associated,ECM Regulators
BCAN,Core matrisome,Proteoglycans
OVGP1,Matrisome-associated,ECM-affiliated Proteins
MEGF11,Matrisome-associated,Secreted Factors
HTRA1,Matrisome-associated,ECM Regulators
CSF1,Matrisome-associated,Secreted Factors
DPT,Core matrisome,ECM Glycoproteins
LTBP3,Core matrisome,ECM Glycoproteins
MUC3A,Matrisome-associated,ECM-affiliated Proteins
GPC4,Matrisome-associated,ECM-affiliated Proteins
VEGFC,Matrisome-associated,Secreted Factors
MUC20,Matrisome-associated,ECM-affiliated Proteins
EGFL7,Matrisome-associated,Secreted Factors
F12,Matrisome-associated,ECM Regulators
FREM1,Matrisome-associated,ECM-affiliated Proteins
LAMB2,Core matrisome,ECM Glycoproteins
BRINP2,Matrisome-associated,Secreted Factors
CST9L,Matrisome-associated,ECM Regulators
CRIM1,Core matrisome,ECM Glycoproteins
SPARCL1,Core matrisome,ECM Glycoproteins
CCL3L3,Matrisome-associated,Secreted Factors
SERPINA1,Matrisome-associated,ECM Regulators
TNF,Matrisome-associated,Secreted Factors
IL17F,Matrisome-associated,Secreted Factors
WNT9B,Matrisome-associated,Secreted Factors
GDF2,Matrisome-associated,Secreted Factors
ADAM15,Matrisome-associated,ECM Regulators
IFNA5,Matrisome-associated,Secreted Factors
IFNA13,Matrisome-associated,Secreted Factors
C1QB,Matrisome-associated,ECM-affiliated Proteins
BMP8B,Matrisome-associated,Secreted Factors
P4HA1,Matrisome-associated,ECM Regulators
GH1,Matrisome-associated,Secreted Factors
GDF1,Matrisome-associated,Secreted Factors
COL4A1,Core matrisome,Collagens
CXCL14,Matrisome-associated,Secreted Factors
MMP28,Matrisome-associated,ECM Regulators
FCN1,Matrisome-associated,ECM-affiliated Proteins
VWF,Core matrisome,ECM Glycoproteins
SERPINB7,Matrisome-associated,ECM Regulators
PCSK6,Matrisome-associated,ECM Regulators
MFGE8,Core matrisome,ECM Glycoproteins
ADAM11,Matrisome-associated,ECM Regulators
CTSA,Matrisome-associated,ECM Regulators
FGF2,Matrisome-associated,Secreted Factors
KITLG,Matrisome-associated,Secreted Factors
PLOD1,Matrisome-associated,ECM Regulators
CTSE,Matrisome-associated,ECM Regulators
MST1,Matrisome-associated,Secreted Factors
SMOC2,Core matrisome,ECM Glycoproteins
SFTPC,Matrisome-associated,ECM-affiliated Proteins
S100Z,Matrisome-associated,Secreted Factors
